md,GR
474.5,41.341
475,41.411
475.5,44.017
476,52.66
476.5,65.306
477,71.655
477.5,73.298
478,73.232
478.5,72.793
479,72.867
479.5,75.074
480,78.633
480.5,78.635
481,74.829
481.5,73.594
482,73.596
482.5,76.858
483,77.963
483.5,79.367
484,81.317
484.5,82.301
485,80.813
485.5,76.338
486,76.717
486.5,78.282
487,79.087
487.5,79.238
488,75.906
488.5,72.893
489,69.88
489.5,69.352
490,70.138
490.5,78.642
491,77.125
491.5,73.269
492,70.628
492.5,70.509
493,73.288
493.5,76.498
494,77.562
494.5,77.043
495,73.856
495.5,68.383
496,66.848
496.5,62.654
497,57.5
497.5,55.308
498,55.474
498.5,59.136
499,66.297
499.5,70.763
500,75.427
500.5,75.986
501,76.38
501.5,74.573
502,72.431
502.5,70.416
503,68.468
503.5,67.931
504,67.884
504.5,68.336
505,69.682
505.5,72.342
506,73.335
506.5,72.358
507,72.087
507.5,72.557
508,72.853
508.5,72.719
509,71.682
509.5,69.818
510,68.607
510.5,67.569
511,68.097
511.5,69.805
512,71.841
512.5,72.341
513,71.181
513.5,68.691
514,66.948
514.5,63.574
515,63.089
515.5,63.028
516,63.006
516.5,62.672
517,61.13
517.5,58.147
518,58.153
518.5,58.678
519,62.881
519.5,69.17
520,71.605
520.5,71.76
521,68.491
521.5,65.943
522,65.762
522.5,66.261
523,68.587
523.5,70.099
524,69.387
524.5,67.896
525,66.857
525.5,69.167
526,72.617
526.5,72.427
527,68.544
527.5,64.87
528,65.517
528.5,66.164
529,66.81
529.5,67.761
530,70.862
530.5,75.5
531,74.348
531.5,66.604
532,65.764
532.5,65.772
533,71.578
533.5,73.819
534,74.75
534.5,75.682
535,76.398
535.5,76.576
536,75.499
536.5,73.286
537,71.905
537.5,72.369
538,75.338
538.5,77.448
539,76.505
539.5,75.132
540,76.158
540.5,76.279
541,75.215
541.5,73.842
542,72.43
542.5,71.21
543,70.785
543.5,72.243
544,73.618
544.5,74.67
545,75.722
545.5,76.774
546,81.27
546.5,84.326
547,82.917
547.5,76.8
548,68.503
548.5,66.532
549,66.407
549.5,66.908
550,68.309
550.5,72.042
551,72.581
551.5,71.463
552,70.804
552.5,70.491
553,71.162
553.5,72.3
554,73.399
554.5,72.801
555,72.727
555.5,73.349
556,74.175
556.5,74.393
557,74.222
557.5,73.492
558,73.662
558.5,75.145
559,79.795
559.5,73.557
560,68.689
560.5,67.805
561,69.71
561.5,72.564
562,75.417
562.5,75.779
563,75.712
563.5,75.353
564,74.994
564.5,74.739
565,74.739
565.5,75.011
566,78.701
566.5,84.454
567,84.941
567.5,82.798
568,80.205
568.5,77.618
569,76.374
569.5,76.222
570,78.063
570.5,78.222
571,78.078
571.5,79.004
572,81.526
572.5,82.732
573,80.881
573.5,77.489
574,75.579
574.5,73.668
575,73.392
575.5,73.946
576,74.858
576.5,75.539
577,75.542
577.5,75.546
578,76.005
578.5,77.112
579,77.453
579.5,73.89
580,68.28
580.5,66.174
581,67.239
581.5,68.753
582,70.439
582.5,71.167
583,69.664
583.5,68.394
584,68.626
584.5,74.888
585,79.38
585.5,82.836
586,84.674
586.5,84.81
587,84.378
587.5,83.221
588,81.42
588.5,78.215
589,78.149
589.5,78.757
590,80.1
590.5,75.814
591,71.165
591.5,72.423
592,76.189
592.5,78.355
593,73.04
593.5,72.407
594,75.617
594.5,79.002
595,82.937
595.5,84.607
596,82.841
596.5,80.213
597,77.296
597.5,76.351
598,77.082
598.5,78.23
599,80.235
599.5,81.745
600,82.888
600.5,79.183
601,79.773
601.5,81.072
602,81.354
602.5,80.761
603,79.596
603.5,77.783
604,76.722
604.5,77.691
605,79.057
605.5,80.407
606,79.396
606.5,77.49
607,75.765
607.5,73.752
608,71.697
608.5,68.188
609,68.124
609.5,70.621
610,76.97
610.5,77.16
611,75.328
611.5,71.757
612,69.207
612.5,67.108
613,65.009
613.5,63.285
614,65.359
614.5,67.432
615,70.387
615.5,72.766
616,79.386
616.5,82.729
617,83.263
617.5,82.701
618,79.331
618.5,74.922
619,73.356
619.5,73.182
620,74.119
620.5,80.959
621,80.933
621.5,79.072
622,77.976
622.5,79.882
623,83.175
623.5,86.114
624,86.774
624.5,82.957
625,81.224
625.5,80.345
626,79.567
626.5,78.07
627,74.703
627.5,72.061
628,70.69
628.5,69.897
629,69.811
629.5,69.725
630,72.996
630.5,76.472
631,78.725
631.5,80.255
632,81.786
632.5,87.09
633,92.287
633.5,92.364
634,88.893
634.5,83.891
635,79.534
635.5,78.839
636,78.995
636.5,80.152
637,85.57
637.5,87.343
638,86.327
638.5,81.456
639,77.951
639.5,77.296
640,79.97
640.5,81.105
641,79.802
641.5,78.682
642,78.582
642.5,83.487
643,87.876
643.5,88.199
644,74.818
644.5,65.237
645,56.85
645.5,43.961
646,43.744
646.5,46.546
647,52.29
647.5,64.589
648,63.974
648.5,60.964
649,61.573
649.5,64.943
650,69.366
650.5,72.59
651,75.813
651.5,80.679
652,87.566
652.5,84.365
653,80.256
653.5,73.376
654,65.159
654.5,59.7
655,58.799
655.5,60.838
656,61.767
656.5,60.58
657,60.973
657.5,61.407
658,61.171
658.5,59.942
659,58.605
659.5,55.567
660,50.106
660.5,44.645
661,39.139
661.5,33.175
662,27.21
662.5,21.245
663,19.874
663.5,20.192
664,22.552
664.5,26.766
